@relation 'turkiye-student-evaluation_generic-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-V-R1-2,4-5,3'

@attribute instr {1,2,3}
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute attendance {0,1,2,3,4}
@attribute difficulty {1,2,3,4,5}
@attribute nb.repeat {1,2,3}

@data
1,2,0,4,1
1,2,1,3,1
1,2,2,4,1
1,2,1,3,1
1,2,0,1,1
1,2,3,3,1
1,2,1,3,1
1,2,1,3,1
1,2,1,3,1
1,2,4,4,1
1,2,3,4,1
1,2,3,3,1
1,2,2,3,1
1,2,1,2,1
1,2,2,3,1
1,2,3,4,1
1,2,3,4,1
1,2,1,2,1
1,2,1,4,1
1,2,2,3,1
1,2,2,4,1
1,2,2,1,1
1,2,3,3,1
1,2,2,4,1
1,2,1,3,1
1,2,0,2,1
1,2,1,2,1
1,2,2,4,1
1,2,3,2,1
1,2,3,3,1
1,2,1,3,1
1,2,1,3,1
1,2,2,4,1
1,2,3,3,1
1,2,2,3,1
1,2,3,4,1
1,2,2,3,1
1,2,4,2,1
1,2,0,1,1
1,2,1,3,3
1,2,1,3,1
1,2,0,3,1
1,2,1,3,2
1,2,1,3,1
1,2,0,4,1
1,2,3,4,1
1,2,2,3,1
1,2,1,3,2
1,2,1,3,1
1,2,1,5,1
1,2,1,3,1
1,2,3,3,1
1,2,4,3,1
1,2,0,3,1
1,2,3,3,1
1,2,1,1,1
1,2,1,4,1
1,2,4,4,1
1,2,3,4,1
1,2,3,3,1
1,2,3,4,1
1,2,3,3,1
1,2,3,4,1
1,2,2,5,1
1,2,4,2,1
1,2,3,3,1
1,2,4,3,1
1,2,3,4,1
1,2,3,3,1
1,2,3,3,1
1,2,4,3,1
1,2,0,1,1
1,2,1,5,3
1,2,1,5,1
1,2,1,4,1
1,2,3,3,1
1,2,3,5,1
1,2,4,3,1
1,2,1,4,1
1,2,3,5,1
1,2,3,4,1
1,2,4,5,1
1,2,0,5,1
1,2,3,3,1
1,2,4,4,1
1,2,3,4,1
1,2,3,4,1
